公司名称,公司行业,公司链接,职位,地区,薪资,标签,职位类型
华为,通信设备,https://www.liepin.com/company/954482/,【博士研究员】大模型算法 语音语义 多base地可沟通,上海-青浦区,40-45k,['博士'],应届
岚图汽车科技有限公司,新能源汽车,https://www.liepin.com/company/12907949/,智能驾驶,武汉,薪资面议,['本科'],应届
高斯全球,计算机软件,https://www.liepin.com/company/13292743/,AI开发工程师,深圳-南山区,30-40k,['硕士'],应届
镁信健康,互联网,https://www.liepin.com/company/9510130/,【2025届校招】AI工程师(J11247),上海-徐汇区,薪资面议,['硕士'],应届
经纬恒润,电子/半导体/集成电路,https://www.liepin.com/company/973634/,数据分析工程师,北京-朝阳区,10-20k,['本科'],应届
视源股份,计算机软件,https://www.liepin.com/company/7854025/,视觉算法工程师（25届校招）,广州-黄埔区,16-25k·13薪,['硕士'],应届
国金证券,基金/证券/期货,https://www.liepin.com/company/4750556/,公司直属-风险管理部-风险管理岗（2025届）(J15673),上海-浦东新区,10-12k·18薪,['硕士'],应届
南方科技大学,培训服务,https://www.liepin.com/company/8960588/,南科大“机器人声学感知与具身智能”博士后/科研助理招聘,深圳-南山区,6-11k·13薪,['本科'],应届
星际动能科技(深圳)有限公司,计算机软件,https://www.liepin.com/company/21142493/,电力系统研究实习生,深圳-南山区,3-4k,['本科'],应届
即云天下(北京)数据科技有限公司,云计算/大数据,https://www.liepin.com/company/10210357/,AI预研工程师（非AI框架开发工程师）,北京-东城区,15-30k,['硕士'],应届
